Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
118	-604.6842	48.92121	-557.50726	-688.5004	1000.0	-52.149723	6.3942018	-21.650572	-79.68974	595000	-0.041617353	227.68906	-0.0028364062	-48.566437	8.775695	1.2564248	981.5015449523926
119	-562.57544	57.8624	-511.51135	-669.87006	1000.0	-52.414185	6.1576505	-28.421078	-81.51279	600000	0.04771024	241.6307	-0.0010855086	-39.702347	8.7055	1.2250808	989.3670303821564
120	-518.72925	43.877167	-453.45377	-555.66376	1000.0	-51.110973	6.1174726	7.9217033	-82.171974	605000	-0.034969594	244.30263	-0.0016055815	-70.69194	8.780181	1.3206941	997.7306637763977
121	-579.9268	47.020065	-519.5062	-643.7722	1000.0	-47.45731	4.624372	-13.785186	-78.247086	610000	0.025588721	242.19577	-0.0026422665	-48.54915	8.811541	1.2923381	1005.6829600334167
122	-531.17535	70.88388	-430.27145	-648.2448	1000.0	-50.70449	4.412489	-22.968065	-77.73927	615000	0.023626538	267.83	-0.002200855	-53.739517	8.758743	1.3028	1013.5840668678284
123	-565.11316	32.286217	-515.6365	-615.8097	1000.0	-48.510098	4.366788	-10.959536	-79.99117	620000	-0.008080034	202.6208	-0.0016353382	-27.206528	8.773267	1.3269688	1021.5689105987549
124	-487.31512	59.460827	-426.3165	-587.5016	1000.0	-50.403183	4.78418	3.5649476	-80.078835	625000	0.016337287	258.79736	-0.0024059573	-88.03229	8.760788	1.3192846	1029.7375185489655
125	-524.56616	61.159176	-426.83014	-589.8328	1000.0	-44.601345	6.392273	12.146445	-75.110634	630000	0.03966685	302.46527	-0.0016953833	-83.7717	8.701893	1.2897974	1037.7878332138062
126	-514.3579	41.69441	-458.64996	-572.04	1000.0	-46.588013	5.4177995	-6.6616945	-79.336044	635000	-0.11763966	266.4036	-0.0015594512	-51.16574	8.908202	1.3883972	1045.8615543842316
127	-549.6119	61.909542	-484.5452	-662.6871	1000.0	-47.144703	3.5179226	-10.582919	-73.20265	640000	-0.022246905	320.9239	-0.001881903	-66.803696	8.71046	1.3095738	1053.7491040229797
128	-553.68823	58.1298	-481.6867	-633.77155	1000.0	-49.351017	5.5451097	-16.136997	-80.58826	645000	0.025257012	263.7463	-0.0019133408	-35.401154	8.790402	1.2899033	1061.8024055957794
129	-551.9832	48.922985	-464.6421	-613.4695	1000.0	-50.150867	3.464954	-16.515768	-78.31741	650000	0.041291423	260.58615	-0.0014702268	-28.55777	8.784066	1.2942513	1069.8155007362366
130	-545.0394	42.613735	-471.3848	-599.2425	1000.0	-49.031925	4.367577	-18.190914	-80.19612	655000	0.040667593	202.98787	-0.0012013279	-26.693604	8.819233	1.2915348	1078.5297362804413
131	-559.52673	41.812546	-495.00067	-598.96814	1000.0	-48.704285	4.304897	-13.876741	-81.042305	660000	-0.02699046	254.44182	-0.0017848946	-41.317474	8.817471	1.3066211	1086.6365518569946
